Network,Acc.(%),Time(ms),Gain,Thrshld.T,Exit(%)
B-resnet(100),69.6500006389618,2.258932638168335,1.5208891616916898,"{0.001, 5.0}","{51.63, 48.37, 0.0}"
B-resnet(100),69.6500006389618,2.3688084840774537,1.4503435754620935,"{0.001, 10.0}","{51.63, 48.37, 0.0}"
B-resnet(100),71.99000062316657,3.3716467380523683,1.0189638575144446,"{0.005, 0.0001}","{58.63, 20.68, 20.69}"
B-resnet(100),71.77000062927603,3.6135302543640138,0.9507561648979478,"{0.005, 0.0005}","{58.63, 23.07, 18.3}"
B-resnet(100),71.71000063076616,3.3258579015731815,1.0329924693285155,"{0.005, 0.001}","{58.63, 24.06, 17.31}"
B-resnet(100),71.21000064492226,3.407000732421875,1.0083902048179603,"{0.005, 0.005}","{58.63, 26.69, 14.68}"
B-resnet(100),70.99000064209103,3.271005702018738,1.0503149426677933,"{0.005, 0.01}","{58.63, 27.95, 13.42}"
B-resnet(100),70.70000066548586,3.390447759628296,1.0133134057663489,"{0.005, 0.025}","{58.63, 29.61, 11.76}"
B-resnet(100),70.52000066846608,3.2127260208129886,1.0693679274625638,"{0.005, 0.05}","{58.63, 31.04, 10.33}"
B-resnet(100),70.26000067800283,3.143919324874878,1.0927717321495092,"{0.005, 0.075}","{58.63, 31.92, 9.45}"
B-resnet(100),70.22000068157911,3.2217947483062748,1.066357864102905,"{0.005, 0.1}","{58.63, 32.66, 8.71}"
B-resnet(100),69.70000069469214,3.123780107498169,1.099816903928424,"{0.005, 0.25}","{58.63, 35.2, 6.17}"
B-resnet(100),69.38000072389842,2.8960695028305055,1.1862927195027702,"{0.005, 0.5}","{58.63, 37.54, 3.83}"
B-resnet(100),68.9900007545948,2.369426941871643,1.4499650129191233,"{0.005, 0.75}","{58.63, 40.64, 0.73}"
B-resnet(100),68.86000076547265,2.294381785392761,1.4973907953133958,"{0.005, 1.0}","{58.63, 41.19, 0.18}"
B-resnet(100),68.85000077709556,2.364955186843872,1.4527066667029593,"{0.005, 2.0}","{58.63, 41.37, 0.0}"
B-resnet(100),68.85000077709556,2.314121222496033,1.4846180627807304,"{0.005, 3.0}","{58.63, 41.37, 0.0}"
B-resnet(100),68.85000077709556,2.268434262275696,1.5145187248826208,"{0.005, 5.0}","{58.63, 41.37, 0.0}"
B-resnet(100),68.85000077709556,2.358655023574829,1.4565869667429308,"{0.005, 10.0}","{58.63, 41.37, 0.0}"
B-resnet(100),71.24000061780215,3.3557143449783324,1.0238017343529338,"{0.01, 0.0001}","{62.12, 18.88, 19.0}"
B-resnet(100),71.04000061556697,3.4288588762283325,1.0019619618060522,"{0.01, 0.0005}","{62.12, 20.86, 17.02}"
B-resnet(100),71.0200006082654,3.4408507108688355,0.998469987532336,"{0.01, 0.001}","{62.12, 21.65, 16.23}"
B-resnet(100),70.61000060141086,3.379875373840332,1.0164830907591136,"{0.01, 0.005}","{62.12, 24.27, 13.61}"
B-resnet(100),70.40000060126187,3.221945023536682,1.0663081279427427,"{0.01, 0.01}","{62.12, 25.55, 12.33}"
B-resnet(100),70.15000062093138,3.3162768602371213,1.0359768834668959,"{0.01, 0.025}","{62.12, 27.14, 10.74}"
